Source_tissue	Target_tissue	Source_cytokine_ensembl	Target_cytokine_ensembl	Source_cytokine_genename	Target_cytokine_genename	Source_cytokine_description	Target_cytokine_description	Source_cytokine_uniprot	Target_cytokine_uniprot	Receptor_ensembl	Receptor_genename	Receptor_synonym	Receptor_uniprot	Receptor_description	Source_tissue_ontology	Target_tissue_ontology	reference_first	reference_second	Action.Sentiment_first	Action.Sentiment_second	NumPapers_first	NumPapers_second	Enrichment.Score_first	Enrichment.Score_second
adipose tissue	basophil	ENSG00000108688	ENSG00000113520	CCL7	IL4	C-C motif chemokine ligand 7	Interleukin 4	P80098	P05112	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.	NA	Positive	NA	35	NA	28.76
adipose tissue	basophil	ENSG00000108688	ENSG00000113520	CCL7	IL4	C-C motif chemokine ligand 7	Interleukin 4	P80098	P05112	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	605|Figure 14.3	NA	Positive	NA	35	NA	28.76
adipose tissue	basophil	ENSG00000108688	ENSG00000121858	CCL7	TNFSF10	C-C motif chemokine ligand 7	TNF superfamily member 10	P80098	P50591	ENSG00000121807	CCR2	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	P41597	C-C motif chemokine receptor 2	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000121858	CCL7	TNFSF10	C-C motif chemokine ligand 7	TNF superfamily member 10	P80098	P50591	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000121858	CCL7	TNFSF10	C-C motif chemokine ligand 7	TNF superfamily member 10	P80098	P50591	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000140285	CCL7	FGF7	C-C motif chemokine ligand 7	Fibroblast growth factor 7	P80098	P21781	ENSG00000121807	CCR2	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	P41597	C-C motif chemokine receptor 2	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000140285	CCL7	FGF7	C-C motif chemokine ligand 7	Fibroblast growth factor 7	P80098	P21781	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000140285	CCL7	FGF7	C-C motif chemokine ligand 7	Fibroblast growth factor 7	P80098	P21781	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000142224	CCL7	IL19	C-C motif chemokine ligand 7	Interleukin 19	P80098	Q9UHD0	ENSG00000121807	CCR2	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	P41597	C-C motif chemokine receptor 2	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000142224	CCL7	IL19	C-C motif chemokine ligand 7	Interleukin 19	P80098	Q9UHD0	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000142224	CCL7	IL19	C-C motif chemokine ligand 7	Interleukin 19	P80098	Q9UHD0	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000163235	CCL7	TGFA	C-C motif chemokine ligand 7	Transforming growth factor alpha	P80098	P01135	ENSG00000121807	CCR2	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	P41597	C-C motif chemokine receptor 2	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000163235	CCL7	TGFA	C-C motif chemokine ligand 7	Transforming growth factor alpha	P80098	P01135	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000163235	CCL7	TGFA	C-C motif chemokine ligand 7	Transforming growth factor alpha	P80098	P01135	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000163736	CCL7	PPBP	C-C motif chemokine ligand 7	Pro-platelet basic protein	P80098	P02775	ENSG00000121807	CCR2	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	P41597	C-C motif chemokine receptor 2	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000163736	CCL7	PPBP	C-C motif chemokine ligand 7	Pro-platelet basic protein	P80098	P02775	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000163736	CCL7	PPBP	C-C motif chemokine ligand 7	Pro-platelet basic protein	P80098	P02775	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000163737	CCL7	PF4	C-C motif chemokine ligand 7	Platelet factor 4	P80098	P02776	ENSG00000121807	CCR2	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	P41597	C-C motif chemokine receptor 2	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000163737	CCL7	PF4	C-C motif chemokine ligand 7	Platelet factor 4	P80098	P02776	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000163737	CCL7	PF4	C-C motif chemokine ligand 7	Platelet factor 4	P80098	P02776	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000184371	CCL7	CSF1	C-C motif chemokine ligand 7	Colony stimulating factor 1	P80098	P09603	ENSG00000121807	CCR2	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	P41597	C-C motif chemokine receptor 2	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000184371	CCL7	CSF1	C-C motif chemokine ligand 7	Colony stimulating factor 1	P80098	P09603	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000184371	CCL7	CSF1	C-C motif chemokine ligand 7	Colony stimulating factor 1	P80098	P09603	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000105329	CCL7	TGFB1	C-C motif chemokine ligand 7	Transforming growth factor beta 1	P80098	P01137	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000105329	CCL7	TGFB1	C-C motif chemokine ligand 7	Transforming growth factor beta 1	P80098	P01137	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000108691	CCL7	CCL2	C-C motif chemokine ligand 7	C-C motif chemokine ligand 2	P80098	P13500	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	Positive	NA	3	NA	0.47
adipose tissue	eosinophil	ENSG00000108688	ENSG00000108691	CCL7	CCL2	C-C motif chemokine ligand 7	C-C motif chemokine ligand 2	P80098	P13500	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	Positive	NA	3	NA	0.47
adipose tissue	eosinophil	ENSG00000108688	ENSG00000157368	CCL7	IL34	C-C motif chemokine ligand 7	Interleukin 34	P80098	Q6ZMJ4	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000157368	CCL7	IL34	C-C motif chemokine ligand 7	Interleukin 34	P80098	Q6ZMJ4	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000161955	CCL7	TNFSF13	C-C motif chemokine ligand 7	TNF superfamily member 13	P80098	O75888	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000161955	CCL7	TNFSF13	C-C motif chemokine ligand 7	TNF superfamily member 13	P80098	O75888	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000163235	CCL7	TGFA	C-C motif chemokine ligand 7	Transforming growth factor alpha	P80098	P01135	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	616|Table Figure 14.10	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000163235	CCL7	TGFA	C-C motif chemokine ligand 7	Transforming growth factor alpha	P80098	P01135	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	616|Table Figure 14.10	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000184371	CCL7	CSF1	C-C motif chemokine ligand 7	Colony stimulating factor 1	P80098	P09603	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000184371	CCL7	CSF1	C-C motif chemokine ligand 7	Colony stimulating factor 1	P80098	P09603	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000188379	CCL7	IFNA2	C-C motif chemokine ligand 7	Interferon alpha 2	P80098	P01563	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000188379	CCL7	IFNA2	C-C motif chemokine ligand 7	Interferon alpha 2	P80098	P01563	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000274736	CCL7	CCL23	C-C motif chemokine ligand 7	C-C motif chemokine ligand 23	P80098	P55773	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	Positive	NA	1	NA	31.29
adipose tissue	eosinophil	ENSG00000108688	ENSG00000274736	CCL7	CCL23	C-C motif chemokine ligand 7	C-C motif chemokine ligand 23	P80098	P55773	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	Positive	NA	1	NA	31.29
adipose tissue	eosinophil	ENSG00000108688	ENSG00000276070	CCL7	CCL4L2	C-C motif chemokine ligand 7	C-C motif chemokine ligand 4 like 2	P80098	Q8NHW4	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000276070	CCL7	CCL4L2	C-C motif chemokine ligand 7	C-C motif chemokine ligand 4 like 2	P80098	Q8NHW4	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000276085	CCL7	CCL3L1	C-C motif chemokine ligand 7	C-C motif chemokine ligand 3 like 1	P80098	P16619	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	eosinophil	ENSG00000108688	ENSG00000276085	CCL7	CCL3L1	C-C motif chemokine ligand 7	C-C motif chemokine ligand 3 like 1	P80098	P16619	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	intestine	ENSG00000108688	ENSG00000102245	CCL7	CD40LG	C-C motif chemokine ligand 7	CD40 ligand	P80098	P29965	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	intestine	ENSG00000108688	ENSG00000104432	CCL7	IL7	C-C motif chemokine ligand 7	Interleukin 7	P80098	P13232	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	intestine	ENSG00000108688	ENSG00000106178	CCL7	CCL24	C-C motif chemokine ligand 7	C-C motif chemokine ligand 24	P80098	O00175	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	intestine	ENSG00000108688	ENSG00000108702	CCL7	CCL1	C-C motif chemokine ligand 7	C-C motif chemokine ligand 1	P80098	P22362	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	intestine	ENSG00000108688	ENSG00000109471	CCL7	IL2	C-C motif chemokine ligand 7	Interleukin 2	P80098	P60568	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	intestine	ENSG00000108688	ENSG00000131142	CCL7	CCL25	C-C motif chemokine ligand 7	C-C motif chemokine ligand 25	P80098	O15444	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	intestine	ENSG00000108688	ENSG00000172156	CCL7	CCL11	C-C motif chemokine ligand 7	C-C motif chemokine ligand 11	P80098	P51671	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	intestine	ENSG00000108688	ENSG00000275718	CCL7	CCL15	C-C motif chemokine ligand 7	C-C motif chemokine ligand 15	P80098	Q16663	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	MAIT T-cell	ENSG00000108688	ENSG00000090554	CCL7	FLT3LG	C-C motif chemokine ligand 7	Fms related tyrosine kinase 3 ligand	P80098	P49771	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	MAIT T-cell	ENSG00000108688	ENSG00000100311	CCL7	PDGFB	C-C motif chemokine ligand 7	Platelet derived growth factor subunit B	P80098	P01127	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	MAIT T-cell	ENSG00000108688	ENSG00000102245	CCL7	CD40LG	C-C motif chemokine ligand 7	CD40 ligand	P80098	P29965	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	MAIT T-cell	ENSG00000108688	ENSG00000110944	CCL7	IL23A	C-C motif chemokine ligand 7	Interleukin 23 subunit alpha	P80098	Q9NPF7	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
