Source_tissue,Target_tissue,cytokine_description,cytokine_ensemlb,cytokine_genename,cytokine_uniprot,Receptor_description,Receptor_ensembl,Receptor_genename,Receptor_uniprot,reference,action_sentiment,num_papers,enrichment_score,chains
adipose tissue,placenta,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,adipose tissue-->CCL7-->ACKR2-->placenta
adipose tissue,plasmacytoid DC,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,adipose tissue-->CCL7-->CXCR3-->plasmacytoid DC
adipose tissue,salivary gland,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,adipose tissue-->CCL7-->ACKR4-->salivary gland
adipose tissue,salivary gland,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,adipose tissue-->CCL7-->ACKR2-->salivary gland
adipose tissue,skeletal muscle,Interleukin 6,ENSG00000136244,IL6,P05231,Interleukin 6 receptor,ENSG00000160712,IL6R,P08887,NA,NA,NA,NA,adipose tissue-->IL6-->IL6R-->skeletal muscle
adipose tissue,T-reg,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 10,ENSG00000184451,CCR10,P46092,NA,NA,NA,NA,adipose tissue-->CCL7-->CCR10-->T-reg
basophil,adipose tissue,Pro-platelet basic protein,ENSG00000163736,PPBP,P02775,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,basophil-->PPBP-->ACKR1-->adipose tissue
basophil,adipose tissue,Platelet factor 4,ENSG00000163737,PF4,P02776,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,basophil-->PF4-->ACKR1-->adipose tissue
basophil,classical monocyte,Interleukin 4,ENSG00000113520,IL4,P05112,Interleukin 13 receptor subunit alpha 1,ENSG00000131724,IL13RA1,P78552,"376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;605|Figure 14.3;605|Figure 14.3;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.",Positive,35,28.76,basophil-->IL4-->IL13RA1-->classical monocyte
basophil,eosinophil,Interleukin 4,ENSG00000113520,IL4,P05112,Interleukin 13 receptor subunit alpha 1,ENSG00000131724,IL13RA1,P78552,"376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;605|Figure 14.3;605|Figure 14.3;605|Figure 14.3;605|Figure 14.3;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.",Positive,35,28.76,basophil-->IL4-->IL13RA1-->eosinophil
basophil,eosinophil,Interleukin 4,ENSG00000113520,IL4,P05112,Interleukin 13 receptor subunit alpha 1,ENSG00000131724,IL13RA1,P78552,"376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;605|Figure 14.3;605|Figure 14.3;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.",Positive,35,28.76,basophil-->IL4-->IL13RA1-->eosinophil
basophil,esophagus,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,EPH receptor A2,ENSG00000142627,EPHA2,P29317,NA,NA,NA,NA,basophil-->HGF-->EPHA2-->esophagus
basophil,esophagus,Interleukin 19,ENSG00000142224,IL19,Q9UHD0,Interleukin 20 receptor subunit beta,ENSG00000174564,IL20RB,Q6UXL0,NA,NA,NA,NA,basophil-->IL19-->IL20RB-->esophagus
basophil,gallbladder,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,basophil-->HGF-->MST1R-->gallbladder
basophil,gdT-cell,Transforming growth factor alpha,ENSG00000163235,TGFA,P01135,Erb-b2 receptor tyrosine kinase 2,ENSG00000141736,ERBB2,P04626,NA,NA,NA,NA,basophil-->TGFA-->ERBB2-->gdT-cell
basophil,intermediate monocyte,Colony stimulating factor 1,ENSG00000184371,CSF1,P09603,Colony stimulating factor 1 receptor,ENSG00000182578,CSF1R,P07333,NA,NA,NA,NA,basophil-->CSF1-->CSF1R-->intermediate monocyte
basophil,intestine,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,basophil-->HGF-->MST1R-->intestine
basophil,liver,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,basophil-->HGF-->SDC2-->liver
basophil,liver,Platelet factor 4,ENSG00000163737,PF4,P02776,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,basophil-->PF4-->SDC2-->liver
basophil,MAIT T-cell,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,basophil-->HGF-->MST1R-->MAIT T-cell
basophil,memory CD4 T-cell,Interleukin 19,ENSG00000142224,IL19,Q9UHD0,Interleukin 20 receptor subunit alpha,ENSG00000016402,IL20RA,Q9UHF4,NA,NA,NA,NA,basophil-->IL19-->IL20RA-->memory CD4 T-cell
basophil,myeloid DC,Interleukin 4,ENSG00000113520,IL4,P05112,Interleukin 13 receptor subunit alpha 1,ENSG00000131724,IL13RA1,P78552,"376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;605|Figure 14.3;605|Figure 14.3;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.",Positive,35,28.76,basophil-->IL4-->IL13RA1-->myeloid DC
basophil,naive B-cell,Interleukin 4,ENSG00000113520,IL4,P05112,Interleukin 4 receptor,ENSG00000077238,IL4R,P24394,"376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;605|Figure 14.3;605|Figure 14.3;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.",Positive,35,28.76,basophil-->IL4-->IL4R-->naive B-cell
basophil,naive CD4 T-cell,Oncostatin M,ENSG00000099985,OSM,P13725,Interleukin 6 signal transducer,ENSG00000134352,IL6ST,P40189,NA,NA,NA,NA,basophil-->OSM-->IL6ST-->naive CD4 T-cell
basophil,naive CD4 T-cell,TNF superfamily member 10,ENSG00000121858,TNFSF10,P50591,TNF receptor superfamily member 10d,ENSG00000173530,TNFRSF10D,Q9UBN6,NA,NA,NA,NA,basophil-->TNFSF10-->TNFRSF10D-->naive CD4 T-cell
basophil,neutrophil,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,basophil-->HGF-->SDC2-->neutrophil
basophil,neutrophil,Interleukin 4,ENSG00000113520,IL4,P05112,Interleukin 13 receptor subunit alpha 1,ENSG00000131724,IL13RA1,P78552,"376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;605|Figure 14.3;605|Figure 14.3;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.",Positive,35,28.76,basophil-->IL4-->IL13RA1-->neutrophil
basophil,neutrophil,TNF superfamily member 10,ENSG00000121858,TNFSF10,P50591,TNF receptor superfamily member 10c,ENSG00000173535,TNFRSF10C,O14798,NA,NA,NA,NA,basophil-->TNFSF10-->TNFRSF10C-->neutrophil
basophil,neutrophil,Pro-platelet basic protein,ENSG00000163736,PPBP,P02775,C-X-C motif chemokine receptor 1,ENSG00000163464,CXCR1,P25024,NA,NA,NA,NA,basophil-->PPBP-->CXCR1-->neutrophil
basophil,neutrophil,Pro-platelet basic protein,ENSG00000163736,PPBP,P02775,C-X-C motif chemokine receptor 2,ENSG00000180871,CXCR2,P25025,NA,NA,NA,NA,basophil-->PPBP-->CXCR2-->neutrophil
basophil,neutrophil,Platelet factor 4,ENSG00000163737,PF4,P02776,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,basophil-->PF4-->SDC2-->neutrophil
basophil,neutrophil,Platelet factor 4,ENSG00000163737,PF4,P02776,Thrombomodulin,ENSG00000178726,THBD,P07204,NA,NA,NA,NA,basophil-->PF4-->THBD-->neutrophil
basophil,NK-cell,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,AXL receptor tyrosine kinase,ENSG00000167601,AXL,P30530,NA,NA,NA,NA,basophil-->HGF-->AXL-->NK-cell
basophil,non-classical monocyte,Colony stimulating factor 1,ENSG00000184371,CSF1,P09603,Colony stimulating factor 1 receptor,ENSG00000182578,CSF1R,P07333,NA,NA,NA,NA,basophil-->CSF1-->CSF1R-->non-classical monocyte
basophil,pancreas,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Insulin receptor,ENSG00000171105,INSR,P06213,NA,NA,NA,NA,basophil-->HGF-->INSR-->pancreas
basophil,placenta,Platelet factor 4,ENSG00000163737,PF4,P02776,Protein C receptor,ENSG00000101000,PROCR,Q9UNN8,NA,NA,NA,NA,basophil-->PF4-->PROCR-->placenta
basophil,plasmacytoid DC,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,EPH receptor A2,ENSG00000142627,EPHA2,P29317,NA,NA,NA,NA,basophil-->HGF-->EPHA2-->plasmacytoid DC
basophil,plasmacytoid DC,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,AXL receptor tyrosine kinase,ENSG00000167601,AXL,P30530,NA,NA,NA,NA,basophil-->HGF-->AXL-->plasmacytoid DC
basophil,plasmacytoid DC,Platelet factor 4,ENSG00000163737,PF4,P02776,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,basophil-->PF4-->CXCR3-->plasmacytoid DC
basophil,skin 1,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Macrophage stimulating 1 receptor,ENSG00000164078,MST1R,Q04912,NA,NA,NA,NA,basophil-->HGF-->MST1R-->skin 1
basophil,skin 1,Interleukin 19,ENSG00000142224,IL19,Q9UHD0,Interleukin 20 receptor subunit alpha,ENSG00000016402,IL20RA,Q9UHF4,NA,NA,NA,NA,basophil-->IL19-->IL20RA-->skin 1
basophil,skin 1,Interleukin 19,ENSG00000142224,IL19,Q9UHD0,Interleukin 20 receptor subunit beta,ENSG00000174564,IL20RB,Q6UXL0,NA,NA,NA,NA,basophil-->IL19-->IL20RB-->skin 1
basophil,testis,Interleukin 4,ENSG00000113520,IL4,P05112,Interleukin 13 receptor subunit alpha 2,ENSG00000123496,IL13RA2,Q14627,"376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;605|Figure 14.3;605|Figure 14.3;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.",Positive,35,28.76,basophil-->IL4-->IL13RA2-->testis
basophil,thyroid gland,Hepatocyte growth factor,ENSG00000019991,HGF,P14210,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,basophil-->HGF-->SDC2-->thyroid gland
basophil,thyroid gland,Platelet factor 4,ENSG00000163737,PF4,P02776,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,basophil-->PF4-->SDC2-->thyroid gland
bone marrow,adipose tissue,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,bone marrow-->CCL7-->ACKR1-->adipose tissue
bone marrow,adipose tissue,Pro-platelet basic protein,ENSG00000163736,PPBP,P02775,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,bone marrow-->PPBP-->ACKR1-->adipose tissue
bone marrow,adipose tissue,Platelet factor 4,ENSG00000163737,PF4,P02776,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,bone marrow-->PF4-->ACKR1-->adipose tissue
bone marrow,adipose tissue,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,bone marrow-->CXCL8-->ACKR1-->adipose tissue
bone marrow,basophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,bone marrow-->CCL7-->CCR2-->basophil
bone marrow,basophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,bone marrow-->CCL7-->ACKR4-->basophil
bone marrow,basophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,bone marrow-->CCL7-->CCR3-->basophil
bone marrow,basophil,Platelet factor 4,ENSG00000163737,PF4,P02776,Low density lipoprotein receptor,ENSG00000130164,LDLR,P01130,NA,NA,NA,NA,bone marrow-->PF4-->LDLR-->basophil
bone marrow,basophil,Interleukin 3,ENSG00000164399,IL3,P08700,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,bone marrow-->IL3-->CSF2RB-->basophil
bone marrow,basophil,Interleukin 3,ENSG00000164399,IL3,P08700,Interleukin 3 receptor subunit alpha,ENSG00000185291,IL3RA,P26951,NA,NA,NA,NA,bone marrow-->IL3-->IL3RA-->basophil
bone marrow,basophil,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,bone marrow-->CCL4L2-->CCR3-->basophil
bone marrow,basophil,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,bone marrow-->CCL3L1-->CCR3-->basophil
bone marrow,basophil,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,bone marrow-->CCL3-->CCR3-->basophil
bone marrow,brain,Tumor necrosis factor,ENSG00000232810,TNF,P01375,TNF receptor superfamily member 21,ENSG00000146072,TNFRSF21,O75509,NA,NA,NA,NA,bone marrow-->TNF-->TNFRSF21-->brain
bone marrow,breast,Interleukin 3,ENSG00000164399,IL3,P08700,Interleukin 3 receptor subunit alpha,ENSG00000185291,IL3RA,P26951,NA,NA,NA,NA,bone marrow-->IL3-->IL3RA-->breast
bone marrow,classical monocyte,Tumor necrosis factor,ENSG00000232810,TNF,P01375,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,bone marrow-->TNF-->LTBR-->classical monocyte
bone marrow,eosinophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL7-->ACKR2-->eosinophil
bone marrow,eosinophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,bone marrow-->CCL7-->CCR3-->eosinophil
bone marrow,eosinophil,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL4L2-->ACKR2-->eosinophil
bone marrow,eosinophil,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,bone marrow-->CCL4L2-->CCR3-->eosinophil
bone marrow,eosinophil,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL3L1-->ACKR2-->eosinophil
bone marrow,eosinophil,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,bone marrow-->CCL3L1-->CCR3-->eosinophil
bone marrow,eosinophil,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL3-->ACKR2-->eosinophil
bone marrow,eosinophil,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,bone marrow-->CCL3-->CCR3-->eosinophil
bone marrow,intermediate monocyte,Tumor necrosis factor,ENSG00000232810,TNF,P01375,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,bone marrow-->TNF-->LTBR-->intermediate monocyte
bone marrow,intestine,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,bone marrow-->CCL7-->ACKR4-->intestine
bone marrow,liver,Platelet factor 4,ENSG00000163737,PF4,P02776,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,bone marrow-->PF4-->SDC2-->liver
bone marrow,liver,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,bone marrow-->CXCL8-->SDC2-->liver
bone marrow,MAIT T-cell,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,bone marrow-->CCL7-->CCR5-->MAIT T-cell
bone marrow,MAIT T-cell,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,bone marrow-->CCL4L2-->CCR5-->MAIT T-cell
bone marrow,MAIT T-cell,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,bone marrow-->CCL3L1-->CCR5-->MAIT T-cell
bone marrow,MAIT T-cell,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,bone marrow-->CCL3-->CCR5-->MAIT T-cell
bone marrow,memory B-cell,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-X-C motif chemokine receptor 5,ENSG00000160683,CXCR5,P32302,NA,NA,NA,NA,bone marrow-->CCL3-->CXCR5-->memory B-cell
bone marrow,myeloid DC,Tumor necrosis factor,ENSG00000232810,TNF,P01375,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,bone marrow-->TNF-->LTBR-->myeloid DC
bone marrow,naive B-cell,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-X-C motif chemokine receptor 5,ENSG00000160683,CXCR5,P32302,NA,NA,NA,NA,bone marrow-->CCL3-->CXCR5-->naive B-cell
bone marrow,naive CD4 T-cell,Oncostatin M,ENSG00000099985,OSM,P13725,Interleukin 6 signal transducer,ENSG00000134352,IL6ST,P40189,NA,NA,NA,NA,bone marrow-->OSM-->IL6ST-->naive CD4 T-cell
bone marrow,neutrophil,Interferon gamma,ENSG00000111537,IFNG,P01579,Interferon gamma receptor 2,ENSG00000159128,IFNGR2,P38484,NA,NA,NA,NA,bone marrow-->IFNG-->IFNGR2-->neutrophil
bone marrow,neutrophil,Interleukin 1 beta,ENSG00000125538,IL1B,P01584,Interleukin 1 receptor type 2,ENSG00000115590,IL1R2,P27930,NA,NA,NA,NA,bone marrow-->IL1B-->IL1R2-->neutrophil
bone marrow,neutrophil,Interleukin 1 beta,ENSG00000125538,IL1B,P01584,Interleukin 1 receptor type 1,ENSG00000115594,IL1R1,P14778,NA,NA,NA,NA,bone marrow-->IL1B-->IL1R1-->neutrophil
bone marrow,neutrophil,Pro-platelet basic protein,ENSG00000163736,PPBP,P02775,C-X-C motif chemokine receptor 1,ENSG00000163464,CXCR1,P25024,NA,NA,NA,NA,bone marrow-->PPBP-->CXCR1-->neutrophil
